,food_type,additives_n,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,nutrition-score-fr_100g,nutrition-score-uk_100g,calories_100g
0,clam_chowder,1.4285714285714286,5.628571428571428,2.737142857142857,8.934285714285714,1.3271428571428572,0.6428571428571429,4.665714285714286,1.1680371428571428,0.4598571428571428,4.857142857142857,4.857142857142857,103.0114722753346
1,pad_thai,1.0,3.35,0.56,25.65,10.41,1.1,4.09,0.71882,0.28300000000000003,3.0,3.0,148.90057361376674
2,steak,0.0,15.5,5.066666666666666,0.4,0.13333333333333333,0.0,18.833333333333332,0.5533333333333333,0.21784776902887118,5.0,5.0,183.3173996175908
3,strawberry_shortcake,1.75,13.6175,5.9975000000000005,41.465,22.6025,2.875,5.6225000000000005,0.503555,0.19825,11.25,11.25,308.73565965583174
5,chicken_wings,0.7916666666666666,14.218750000000002,3.822916666666666,4.267083333333333,1.4808695652173913,0.1619047619047619,16.805416666666666,1.1151966666666666,0.43905380577427816,6.869565217391305,6.869565217391305,214.82632249840663
6,gnocchi,2.090909090909091,2.1617391304347824,0.8909375,40.09782608695652,3.2287500000000007,1.661923076923077,5.326874999999999,1.1024037500000001,0.43404355314960624,3.65625,3.65625,215.14250717017208
7,macarons,2.7,24.355,16.394545454545455,45.216,36.64636363636364,4.681818181818182,5.998181818181819,0.3169618181818182,0.12478811739441661,17.181818181818183,17.181818181818183,419.2595167738571
8,garlic_bread,3.076923076923077,13.619285714285715,3.689285714285714,45.469285714285725,1.6,2.576923076923077,8.249230769230767,1.2819128571428575,0.5046901012373454,8.846153846153847,8.846153846153847,337.91996722207045
9,nachos,0.6666666666666666,13.333333333333334,1.3333333333333333,42.666666666666664,0.7666666666666666,4.0,2.3333333333333335,2.209166666666667,0.869750656167979,7.0,7.0,315.08922880815805
11,lobster_bisque,1.0,8.968888888888891,5.3244444444444445,6.941111111111112,2.1444444444444444,0.2222222222222222,2.738888888888889,0.9160933333333333,0.3606666666666667,7.888888888888889,7.888888888888889,120.21988527724665
12,guacamole,3.085714285714286,12.75888888888889,2.76051282051282,6.621666666666667,2.2276923076923083,4.199393939393939,2.048461538461538,1.0474676923076924,0.4123888552392489,3.6666666666666665,3.6666666666666665,155.1269794577634
13,carrot_cake,3.3125,20.27875,7.370666666666666,55.673125,37.26266666666667,1.8,4.486250000000001,0.8065346666666666,0.31753333333333333,20.266666666666666,20.266666666666666,416.42268164435944
18,churros,1.3333333333333333,3.51,1.2433333333333334,42.776666666666664,3.8766666666666665,2.1333333333333333,7.976666666666667,1.5719400000000003,0.6188740157480314,5.666666666666667,5.666666666666667,243.38750796685787
19,french_fries,1.0,5.0,0.6266666666666666,22.355,0.5599999999999999,2.6,2.6933333333333334,0.15206666666666666,0.05986876640419934,-2.6666666666666665,-2.6666666666666665,155.67240280433398
20,ravioli,1.75,5.5168421052631595,2.722162162162163,29.09315789473684,2.266216216216216,1.9945945945945944,8.98974358974359,0.9644540540540539,0.3797016386465207,2.864864864864865,2.864864864864865,199.78428200225522
23,breakfast_burrito,9.083333333333334,9.633333333333333,3.215833333333333,24.699166666666667,0.9791666666666665,1.366666666666667,11.904166666666667,1.2759266666666667,0.5023333333333334,6.583333333333333,6.583333333333333,235.65965583173994
24,ice_cream,3.4481927710843374,11.658317307692299,7.097975903614464,26.613149038461504,21.445048076923072,0.5270731707317073,3.567644230769237,0.2164053846153847,0.08519897032101756,12.624096385542169,12.624096385542169,221.5824477864392
27,cup_cakes,2.4827586206896552,19.112758620689654,6.32655172413793,58.023103448275855,44.033793103448275,0.8793103448275863,2.883448275862069,0.7147034482758621,0.2813793103448276,21.379310344827587,21.379310344827587,410.0431858640469
28,waffles,3.6216216216216215,10.396216216216214,2.5694594594594595,41.67243243243244,7.941621621621622,1.721621621621621,5.2186486486486485,1.4156724324324323,0.5573513513513514,8.216216216216216,8.216216216216216,280.7477649733864
33,apple_pie,3.2444444444444445,13.439777777777785,6.144888888888889,37.464888888888886,15.073999999999998,2.148888888888888,2.8415555555555545,0.5959968888888889,0.23464444444444443,11.422222222222222,11.422222222222222,272.7958359889526
34,hot_dog,4.869565217391305,20.45391304347826,7.065199999999999,8.191304347826087,2.8337499999999998,0.7105263157894737,11.28875,2.28412,0.899259842519685,16.333333333333332,16.333333333333332,261.2332695984704
35,huevos_rancheros,2.0,25.0,9.09,25.0,6.82,9.1,36.36,4.04114,1.591,20.0,20.0,477.0554493307839
36,chicken_quesadilla,3.0,7.8225,3.4225,21.355,0.7825,2.425,9.445,0.922655,0.36325,2.75,2.75,194.78967495219885
37,miso_soup,0.3333333333333333,7.725,0.575,28.505,11.0525,6.400000000000001,13.8275,15.056595,5.9277933070866125,11.75,11.75,255.55688336520075
38,ramen,0.0,2.0,0.0,68.0,4.0,8.0,16.0,2.9464,1.16,9.0,9.0,359.94263862332696
39,foie_gras,1.0,56.1,23.6,2.2,0.9,0.0,7.5,1.27,0.5,21.0,21.0,543.9770554493308
40,mussels,0.5,2.77,1.445,2.9850000000000003,0.165,0.05,8.184999999999999,0.76581,0.3015,0.0,0.0,71.46271510516252
41,paella,1.6666666666666667,2.915,0.5666666666666668,49.11,1.706666666666667,1.0666666666666667,7.976666666666667,1.9880933333333335,0.7827139107611547,5.333333333333333,5.333333333333333,211.67941363926064
42,crab_cakes,8.5,11.889999999999999,2.4225,11.41875,1.3937499999999998,0.6857142857142857,9.902499999999998,1.2642849999999999,0.49775,4.25,4.25,194.2519120458891
43,french_toast,6.0,7.813333333333333,1.4633333333333336,32.22,7.003333333333333,1.7,6.32,0.9652,0.38000000000000006,3.3333333333333335,3.3333333333333335,218.37157425111533
44,pancakes,4.294117647058823,7.307222222222224,1.8275,44.98666666666666,15.527000000000001,1.6235294117647054,5.8125,1.2283299999999997,0.48359448818897655,9.55,9.55,274.27103250478007
45,tiramisu,3.782608695652174,14.431249999999999,9.250800000000002,33.55041666666667,24.907200000000003,1.2526315789473685,3.9932000000000003,0.18338056000000003,0.07219707086614172,15.24,15.24,293.8336520076482
46,sushi,1.5,3.4,0.625,22.333333333333332,4.85,0.5666666666666667,6.4750000000000005,1.1099999999999999,0.43700787401574825,4.5,4.5,252.74856596558317
